"Username","Tweet","Likes","Timestamp"
"The Telegraph
@Telegraph
·
4h"," Planes leaving and flying to the UK have been grounded following an issue with air traffic control which has resulted in the closure of air space

Follow the latest on our live blog 
https://telegraph.co.uk/news/2023/08/28/air-traffic-control-grounds-uk-flights-live-latest-updates/…",19,2023-08-28T12:09:14.000Z
"The Telegraph
@Telegraph
·
4h","Telegraph Money takes a look what ‘dressing’ your property can offer

Would you be tempted? Find out more below ",4,2023-08-28T12:03:02.000Z
"The Telegraph
@Telegraph
·
6h"," ""There aren’t 72 genders, and no one is going to be identifying as a ­penguin""

The trans comedian’s TV striptease shocked viewers – but there’s wisdom (and common sense) behind her X-rated wit

Read the full interview with 
@Talldarkfriend
 below 
https://telegraph.co.uk/comedy/comedians/jordan-gray-comedian-interview/…",17,2023-08-28T10:00:13.000Z
"The Telegraph
@Telegraph
·
6h", Scientists in Brazil find potential game-changing link between laughing and a reduced risk of heart disease,26,2023-08-28T09:46:55.000Z
"The Telegraph
@Telegraph
·
7h"," Kyiv has created its first naval drone brigade after huge investment produces dividends in attacks on Kremlin boats

Find out more from 
@jkjourno
 
https://telegraph.co.uk/world-news/2023/08/27/drones-ships-ukraine-russia-navy-attack-marichka-war/…",68,2023-08-28T09:31:18.000Z
"The Telegraph
@Telegraph
·
7h", Olaf Scholz is considering imposing a three-year rent freeze on Germany’s landlords as his ruling Social Democratic party attempts to ease the strain of the cost of living crisis on tenants,17,2023-08-28T09:17:06.000Z
"James Kilner
@jkjourno
·
Aug 26","Putin is caught in a dictator's ""nexus of power and fear"" and is terrified that he will suffer the same fate as Julius Caesar. 

The presumed assassination of Prigozhin has shown him to be a true mafia boss, but he may be weaker in the long-run.",24,2023-08-26T08:42:06.000Z
"Telegraph Sport
@TelegraphSport
·
7h","British athletes ready to produce own Netflix-style show as BBC talks rumble on

#TelegraphSport",9,2023-08-28T09:09:44.000Z
"The Telegraph
@Telegraph
·
10h",Rishi Sunak should do his best to woo Narendra Modi’s government away from its ill-judged ambivalence towards Russia,21,2023-08-28T05:46:16.000Z
"The Telegraph
@Telegraph
·
10h","World-first initiative will offer more intensive and targeted care under new national programme, officials announced",16,2023-08-28T05:43:46.000Z
